planner_name,planning_time,attempts,states_explored,node_count,tree_depth,success
RRTConnect,0.16698384284973145,1,100,40,20,1
RRTConnect,0.04018664360046387,1,110,44,22,1
RRTConnect,0.027113676071166992,1,110,44,22,1
RRTConnect,0.03182363510131836,1,115,46,23,1
RRTConnect,0.036581993103027344,1,105,42,21,1
RRTConnect,0.042586565017700195,1,110,44,22,1
RRTConnect,0.02421736717224121,1,90,36,18,1
RRTConnect,0.022313833236694336,1,120,48,24,1
RRTConnect,0.020172119140625,1,115,46,23,1
RRTConnect,0.03506207466125488,1,90,36,18,1
RRTConnect,0.03585457801818848,1,90,36,18,1
RRTConnect,0.04297900199890137,1,100,40,20,1
RRTConnect,0.04741716384887695,1,85,34,17,1
RRTConnect,0.04089665412902832,1,125,50,25,1
RRTConnect,0.030719995498657227,1,95,38,19,1
RRTConnect,0.1503293514251709,1,0,0,0,0
RRTConnect,0.02836441993713379,1,110,44,22,1
RRTConnect,0.032685279846191406,1,95,38,19,1
RRTConnect,0.037592411041259766,1,85,34,17,1
RRTConnect,0.029819488525390625,1,60,24,12,1
RRTConnect,0.03957390785217285,1,90,36,18,1
RRTConnect,0.05849051475524902,1,130,52,26,1
RRTConnect,0.047541141510009766,1,90,36,18,1
RRTConnect,0.03371930122375488,1,95,38,19,1
RRTConnect,0.03929305076599121,1,90,36,18,1
RRTConnect,0.030447721481323242,1,55,22,11,1
RRTConnect,0.021081924438476562,1,90,36,18,1
RRTConnect,0.04178810119628906,1,90,36,18,1
RRTConnect,0.017868757247924805,1,40,16,8,1
RRTConnect,0.030081748962402344,1,120,48,24,1
RRTConnect,0.04793524742126465,1,85,34,17,1
RRTConnect,0.037610530853271484,1,135,54,27,1
RRTConnect,0.03350234031677246,1,85,34,17,1
RRTConnect,0.04004859924316406,1,100,40,20,1
RRTConnect,0.028563976287841797,1,70,28,14,1
RRTConnect,0.021321773529052734,1,105,42,21,1
RRTConnect,0.025206327438354492,1,105,42,21,1
RRTConnect,0.06754827499389648,1,90,36,18,1
RRTConnect,0.05448150634765625,1,80,32,16,1
RRTConnect,0.06791234016418457,1,90,36,18,1
RRTConnect,0.07096076011657715,1,100,40,20,1
RRTConnect,0.06017327308654785,1,100,40,20,1
RRTConnect,0.08306002616882324,1,85,34,17,1
RRTConnect,0.04520750045776367,1,75,30,15,1
RRTConnect,0.07538938522338867,1,115,46,23,1
RRTConnect,0.08102059364318848,1,55,22,11,1
RRTConnect,0.08120131492614746,1,95,38,19,1
RRTConnect,0.05463695526123047,1,95,38,19,1
RRTConnect,0.06868577003479004,1,115,46,23,1
RRTConnect,0.5267844200134277,1,0,0,0,0
RRTConnect,0.029642343521118164,1,100,40,20,1
RRTConnect,0.07007646560668945,1,95,38,19,1
RRTConnect,0.04982113838195801,1,105,42,21,1
RRTConnect,0.05656766891479492,1,90,36,18,1
RRTConnect,0.043584585189819336,1,85,34,17,1
RRTConnect,0.03395366668701172,1,100,40,20,1
RRTConnect,0.04527759552001953,1,80,32,16,1
RRTConnect,0.03761744499206543,1,100,40,20,1
RRTConnect,0.035711050033569336,1,90,36,18,1
RRTConnect,0.049372196197509766,1,95,38,19,1
RRTConnect,0.038039445877075195,1,100,40,20,1
RRTConnect,0.031960487365722656,1,85,34,17,1
RRTConnect,0.05906224250793457,1,65,26,13,1
RRTConnect,0.03136634826660156,1,95,38,19,1
RRTConnect,0.03393125534057617,1,115,46,23,1
RRTConnect,0.04614973068237305,1,90,36,18,1
RRTConnect,0.04529166221618652,1,105,42,21,1
RRTConnect,0.02673029899597168,1,85,34,17,1
RRTConnect,0.05772995948791504,1,95,38,19,1
RRTConnect,0.06859993934631348,1,125,50,25,1
RRTConnect,0.05939173698425293,1,85,34,17,1
RRTConnect,0.12175250053405762,1,85,34,17,1
RRTConnect,0.09866762161254883,1,90,36,18,1
RRTConnect,0.07119011878967285,1,105,42,21,1
RRTConnect,0.12212562561035156,1,115,46,23,1
RRTConnect,0.10137104988098145,1,130,52,26,1
RRTConnect,0.09848165512084961,1,100,40,20,1
RRTConnect,0.07208418846130371,1,80,32,16,1
RRTConnect,0.12732362747192383,1,120,48,24,1
RRTConnect,0.05114555358886719,1,90,36,18,1
RRTConnect,0.3358747959136963,1,0,0,0,0
RRTConnect,0.05590486526489258,1,90,36,18,1
RRTConnect,0.07607531547546387,1,80,32,16,1
RRTConnect,0.07553887367248535,1,85,34,17,1
RRTConnect,0.06702065467834473,1,80,32,16,1
RRTConnect,0.05516624450683594,1,90,36,18,1
RRTConnect,0.07908463478088379,1,95,38,19,1
RRTConnect,0.04811525344848633,1,85,34,17,1
RRTConnect,0.07091879844665527,1,125,50,25,1
RRTConnect,0.0734410285949707,1,90,36,18,1
RRTConnect,0.04282331466674805,1,95,38,19,1
RRTConnect,0.039374589920043945,1,105,42,21,1
RRTConnect,0.04735517501831055,1,90,36,18,1
RRTConnect,0.05008959770202637,1,65,26,13,1
RRTConnect,0.030351877212524414,1,85,34,17,1
RRTConnect,0.04569077491760254,1,70,28,14,1
RRTConnect,0.0679924488067627,1,120,48,24,1
RRTConnect,0.042173147201538086,1,120,48,24,1
RRTConnect,0.04926323890686035,1,90,36,18,1
RRTConnect,0.05536222457885742,1,115,46,23,1
RRTConnect,0.05397152900695801,1,110,44,22,1
RRTConnect,0.06734776496887207,1,105,42,21,1
RRTConnect,0.05801129341125488,1,130,52,26,1
RRTConnect,0.059645891189575195,1,90,36,18,1
RRTConnect,0.053191184997558594,1,115,46,23,1
RRTConnect,0.025501012802124023,1,95,38,19,1
RRTConnect,1.5652766227722168,1,0,0,0,0
RRTConnect,0.05587410926818848,1,120,48,24,1
RRTConnect,0.044532060623168945,1,85,34,17,1
RRTConnect,0.03206276893615723,1,60,24,12,1
RRTConnect,0.12750530242919922,1,0,0,0,0
RRTConnect,0.28700947761535645,1,0,0,0,0
RRTConnect,0.09104394912719727,1,85,34,17,1
RRTConnect,0.09775280952453613,1,125,50,25,1
RRTConnect,0.06308984756469727,1,90,36,18,1
RRTConnect,0.04876995086669922,1,90,36,18,1
RRTConnect,0.03473401069641113,1,110,44,22,1
RRTConnect,0.03822016716003418,1,105,42,21,1
RRTConnect,0.03886532783508301,1,90,36,18,1
RRTConnect,0.03742408752441406,1,90,36,18,1
RRTConnect,0.15261173248291016,1,0,0,0,0
RRTConnect,0.024570941925048828,1,85,34,17,1
RRTConnect,0.04353761672973633,1,105,42,21,1
RRTConnect,0.052959442138671875,1,105,42,21,1
RRTConnect,0.05016946792602539,1,95,38,19,1
RRTConnect,0.14569664001464844,1,0,0,0,0
RRTConnect,0.03750014305114746,1,115,46,23,1
RRTConnect,0.04692554473876953,1,90,36,18,1
RRTConnect,0.025702953338623047,1,80,32,16,1
RRTConnect,0.054309844970703125,1,130,52,26,1
RRTConnect,0.03096151351928711,1,120,48,24,1
RRTConnect,0.051734209060668945,1,80,32,16,1
RRTConnect,0.05000805854797363,1,115,46,23,1
RRTConnect,0.05153012275695801,1,130,52,26,1
RRTConnect,0.05623936653137207,1,130,52,26,1
RRTConnect,0.04862499237060547,1,90,36,18,1
RRTConnect,0.04851865768432617,1,80,32,16,1
RRTConnect,0.0493464469909668,1,90,36,18,1
RRTConnect,0.04391169548034668,1,80,32,16,1
RRTConnect,0.04613661766052246,1,110,44,22,1
RRTConnect,0.05491995811462402,1,130,52,26,1
RRTConnect,0.06868815422058105,1,90,36,18,1
RRTConnect,0.047365665435791016,1,65,26,13,1
RRTConnect,0.03549361228942871,1,110,44,22,1
RRTConnect,0.053774118423461914,1,110,44,22,1
RRTConnect,0.04484295845031738,1,110,44,22,1
RRTConnect,0.05427908897399902,1,120,48,24,1
RRTConnect,0.037116289138793945,1,85,34,17,1
RRTConnect,0.3812217712402344,1,0,0,0,0
RRTConnect,0.03158402442932129,1,75,30,15,1
RRTConnect,0.04267144203186035,1,90,36,18,1
RRTConnect,0.047434329986572266,1,120,48,24,1
RRTConnect,0.04160928726196289,1,75,30,15,1
RRTConnect,0.0440671443939209,1,110,44,22,1
RRTConnect,0.04958796501159668,1,105,42,21,1
RRTConnect,0.04724836349487305,1,120,48,24,1
RRTConnect,0.030766010284423828,1,85,34,17,1
RRTConnect,0.043205976486206055,1,95,38,19,1
RRTConnect,0.041042327880859375,1,130,52,26,1
RRTConnect,0.041007280349731445,1,85,34,17,1
RRTConnect,0.07251381874084473,1,0,0,0,0
RRTConnect,0.04107499122619629,1,95,38,19,1
RRTConnect,0.048331499099731445,1,115,46,23,1
RRTConnect,0.03827977180480957,1,115,46,23,1
RRTConnect,0.03390622138977051,1,105,42,21,1
RRTConnect,0.03645014762878418,1,125,50,25,1
RRTConnect,0.055206298828125,1,85,34,17,1
RRTConnect,0.04477190971374512,1,120,48,24,1
RRTConnect,0.0598294734954834,1,100,40,20,1
RRTConnect,0.041803836822509766,1,105,42,21,1
RRTConnect,0.040670156478881836,1,125,50,25,1
RRTConnect,0.057749271392822266,1,130,52,26,1
RRTConnect,0.036153554916381836,1,95,38,19,1
RRTConnect,0.05832624435424805,1,105,42,21,1
RRTConnect,0.04066610336303711,1,130,52,26,1
RRTConnect,0.06283402442932129,1,110,44,22,1
RRTConnect,0.038393497467041016,1,75,30,15,1
