trial,success,planning_time,wall_time,path_length_joint,trajectory_duration,timestamp_utc,elapsed_time_sec,start_state_json,goal_pose_json,waypoints_json
0,False,10.053075551986694,10.053075551986694,0.0,0.0,2026-02-23T05:01:43.268557+00:00,10.053515672683716,"[0.0, 0.0, 0.0, 0.0]","[0.0508719382719043, -0.0390972322597038, -0.0709669022665221, -0.0969221178432401, 0.5218504551358758, 0.7099877390174618, 0.462812722374972]",[]
1,False,10.255265951156616,10.255265951156616,0.0,0.0,2026-02-23T05:01:53.524400+00:00,20.30935835838318,"[0.0, 0.0, 0.0, 0.0]","[-0.0060840360184177, -0.0269708489571175, 0.1457154468873741, -0.3521347809885856, 0.4981960218513118, 0.7246534736056746, -0.320435895337707]",[]
2,False,10.102526426315308,10.102526426315308,0.0,0.0,2026-02-23T05:02:03.627422+00:00,30.412381649017334,"[0.0, 0.0, 0.0, 0.0]","[-0.0385613826680224, -0.0065761258095708, -0.0671658970329017, 0.3066873361957893, 0.6637837450490011, -0.377029060995337, 0.5684919566632652]",[]
3,False,10.170778751373291,10.170778751373291,0.0,0.0,2026-02-23T05:02:13.798626+00:00,40.5835862159729,"[0.0, 0.0, 0.0, 0.0]","[-0.0204232364125262, -0.0729115183281938, 0.2668650675807861, 0.5349281683955971, -0.3380513902345461, 0.7373365704172635, -0.2364485020944942]",[]
4,False,10.032680034637451,10.032680034637451,0.0,0.0,2026-02-23T05:02:23.831752+00:00,50.6167106628418,"[0.0, 0.0, 0.0, 0.0]","[-0.0936822536671506, -0.0895206074504337, 0.2922782488817997, 0.2300202708267938, -0.8280640924432963, 0.0594425882848586, 0.5078061761270974]",[]
5,False,10.045931816101074,10.045931816101074,0.0,0.0,2026-02-23T05:02:33.878298+00:00,60.66325902938843,"[0.0, 0.0, 0.0, 0.0]","[0.0073825068328577, 0.0205507246117878, 0.2697914546845983, 0.5790412259910693, 0.7738621519424662, 0.0227047239269565, -0.2556034504953628]",[]
6,False,10.017542839050293,10.017542839050293,0.0,0.0,2026-02-23T05:02:43.896320+00:00,70.68127965927124,"[0.0, 0.0, 0.0, 0.0]","[-0.102839930855672, -0.0920572811115705, 0.2589990663695501, 0.9159001956794488, 0.292568353078719, 0.2744721774223598, 0.0139862129320882]",[]
7,False,10.040849208831787,10.040849208831787,0.0,0.0,2026-02-23T05:02:53.937755+00:00,80.72271490097046,"[0.0, 0.0, 0.0, 0.0]","[0.0338848934101066, -0.0569436279023722, 0.3281232026180301, 0.2921838737161786, -0.4001783983689047, 0.6618235812430358, 0.5625614461814362]",[]
8,False,10.286035776138306,10.286035776138306,0.0,0.0,2026-02-23T05:03:04.225421+00:00,91.01038241386414,"[0.0, 0.0, 0.0, 0.0]","[-0.0413569068668526, -0.0514070950210098, 0.302935838667339, -0.1807512324491844, 0.6636559675632597, -0.6409045759439146, 0.3407800951052238]",[]
9,False,10.051892280578613,10.051892280578613,0.0,0.0,2026-02-23T05:03:14.281405+00:00,101.0663652420044,"[0.0, 0.0, 0.0, 0.0]","[0.0587466627830513, 0.0763076011039424, 0.2542764860804279, -0.6902676886494521, -0.465108408144629, 0.1749857955697384, 0.5259131658634707]",[]
10,False,10.033344984054565,10.033344984054565,0.0,0.0,2026-02-23T05:03:24.315342+00:00,111.10030150413513,"[0.0, 0.0, 0.0, 0.0]","[-0.011216833929383, 0.0044916769963158, 0.0344820797823826, 0.9271611250247936, -0.0147469446352857, 0.2592221888540005, -0.2701085571995525]",[]
11,False,10.032847166061401,10.032847166061401,0.0,0.0,2026-02-23T05:03:34.349615+00:00,121.13457536697388,"[0.0, 0.0, 0.0, 0.0]","[0.1979624813800989, -0.0994001663650703, 0.2093016139654533, 0.8304826385823315, -0.0597857760319778, -0.3499883366972429, 0.4292230331348493]",[]
12,False,10.088672637939453,10.088672637939453,0.0,0.0,2026-02-23T05:03:44.438906+00:00,131.22386050224304,"[0.0, 0.0, 0.0, 0.0]","[0.0820719382102554, -0.0589562708846727, 0.1527837435402556, -0.6173776589949729, 0.1540097369775097, -0.3153081087341051, 0.7040643604504684]",[]
13,False,10.078612804412842,10.078612804412842,0.0,0.0,2026-02-23T05:03:54.519544+00:00,141.30450439453125,"[0.0, 0.0, 0.0, 0.0]","[0.0266629054426981, 0.0040307406518962, 0.2053696259455475, 0.6660136295260093, 0.058967083673247, 0.7401023588133052, -0.0720917943156195]",[]
14,False,10.210074424743652,10.210074424743652,0.0,0.0,2026-02-23T05:04:04.730064+00:00,151.51502203941345,"[0.0, 0.0, 0.0, 0.0]","[0.034400944832425, -0.1592273273923645, 0.2721801065897668, 0.6517351087152274, 0.1180175065185329, 0.7197026923417414, 0.2081856163598901]",[]
15,False,10.216325521469116,10.216325521469116,0.0,0.0,2026-02-23T05:04:14.946957+00:00,161.73191857337952,"[0.0, 0.0, 0.0, 0.0]","[0.0438224074005282, 0.2398574576257582, 0.2115728884990009, 0.5421346049477128, 0.6713934320386766, 0.0782445917470537, -0.4991980703046149]",[]
16,False,10.011983156204224,10.011983156204224,0.0,0.0,2026-02-23T05:04:24.959164+00:00,171.74412536621094,"[0.0, 0.0, 0.0, 0.0]","[-0.111047431018942, 0.1429688319010766, 0.2246323359873213, 0.390699825388927, -0.599804226055299, 0.344352486282864, 0.607461852331548]",[]
17,False,10.032696008682251,10.032696008682251,0.0,0.0,2026-02-23T05:04:34.992081+00:00,181.77704215049744,"[0.0, 0.0, 0.0, 0.0]","[0.073110125118537, -0.1195946252611798, 0.0188182162847958, 0.4805237734624512, 0.8303303576474363, -0.0690693998550611, 0.273638115601882]",[]
18,False,10.061251401901245,10.061251401901245,0.0,0.0,2026-02-23T05:04:45.053653+00:00,191.83861112594604,"[0.0, 0.0, 0.0, 0.0]","[-0.0748048126764882, -0.0810996828956475, -0.006214157527285, 0.6433010646642657, -0.2780597331978375, -0.6111239806816743, -0.3679320660278934]",[]
19,False,10.219321489334106,10.219321489334106,0.0,0.0,2026-02-23T05:04:55.274491+00:00,202.0594425201416,"[0.0, 0.0, 0.0, 0.0]","[0.1587113038809871, -0.0057222070359073, 0.241854921635741, 0.5917056535831704, 0.2488290244545153, 0.7422527604610999, -0.1924301839488924]",[]
20,False,10.024280071258545,10.024280071258545,0.0,0.0,2026-02-23T05:05:05.324472+00:00,212.10943055152893,"[0.0, 0.0, 0.0, 0.0]","[-0.2120228541872287, -0.0448231720631568, 0.1899000950282869, -0.0926415518482186, 0.953625831586594, 0.2843252620804488, -0.0342704179258864]",[]
21,False,11.406383514404297,11.406383514404297,0.0,0.0,2026-02-23T05:05:16.731459+00:00,223.51641964912415,"[0.0, 0.0, 0.0, 0.0]","[0.0114103942902957, -0.1325825221973228, 0.1526704608843549, 0.7055128985349448, -0.6349013193880505, 0.3145057686331612, -0.0154267992985551]",[]
22,False,10.053749322891235,10.053749322891235,0.0,0.0,2026-02-23T05:05:26.785614+00:00,233.57057547569275,"[0.0, 0.0, 0.0, 0.0]","[0.0194145230514906, -0.029066027946418, 0.0918829999609872, -0.6117123008984514, -0.2899101308746339, 0.6328651611686681, -0.3758215862942561]",[]
23,False,10.033804416656494,10.033804416656494,0.0,0.0,2026-02-23T05:05:36.819746+00:00,243.6047067642212,"[0.0, 0.0, 0.0, 0.0]","[-0.154681868162275, 0.1742653646944467, 0.09146580554035, -0.5962563205286435, 0.3515980940990878, 0.6254977197095487, 0.3600135873737093]",[]
24,False,10.045084238052368,10.045084238052368,0.0,0.0,2026-02-23T05:05:46.865202+00:00,253.6501624584198,"[0.0, 0.0, 0.0, 0.0]","[-0.078130766136422, 0.2387956671915228, 0.0351381034491475, -0.2225739653753282, -0.7098897269350364, 0.3643066012235935, 0.5601768522833797]",[]
25,False,10.039933443069458,10.039933443069458,0.0,0.0,2026-02-23T05:05:56.905687+00:00,263.6906485557556,"[0.0, 0.0, 0.0, 0.0]","[0.1058313496397353, -0.04625457808128, -0.0103467045961489, 0.0637369702683915, 0.1261490910062602, -0.2292374918674414, 0.9630546078917984]",[]
26,False,10.019248247146606,10.019248247146606,0.0,0.0,2026-02-23T05:06:06.925282+00:00,273.7102415561676,"[0.0, 0.0, 0.0, 0.0]","[-0.1220787640381781, 0.0765765757710918, 0.2982088447680379, 0.2806425853085063, -0.2480483382360582, 0.8786705871567855, 0.2960570223373153]",[]
27,False,10.276711463928223,10.276711463928223,0.0,0.0,2026-02-23T05:06:17.202821+00:00,283.9877779483795,"[0.0, 0.0, 0.0, 0.0]","[0.0858987824132154, -0.1491748990811841, 0.1088026079249743, 0.8461157510392024, -0.5131560638305511, -0.1433430096681506, 0.0145523735719691]",[]
28,False,10.066784858703613,10.066784858703613,0.0,0.0,2026-02-23T05:06:27.270245+00:00,294.0552041530609,"[0.0, 0.0, 0.0, 0.0]","[-0.01017176102614, 0.0053307349896416, 0.2920692850376095, 0.4422409984328753, -0.5346000597845403, 0.5455215366631525, 0.4701403284341094]",[]
29,False,10.01484203338623,10.01484203338623,0.0,0.0,2026-02-23T05:06:37.285519+00:00,304.07047986984253,"[0.0, 0.0, 0.0, 0.0]","[-0.1771517616907237, -0.0446414354882923, 0.1693752691301436, 0.4989566902988348, -0.4697555388378051, 0.6666704618991665, 0.293125314785994]",[]
30,False,10.015464067459106,10.015464067459106,0.0,0.0,2026-02-23T05:06:47.301519+00:00,314.08648014068604,"[0.0, 0.0, 0.0, 0.0]","[0.1084669608617848, -0.0627045148944297, 0.3189618110805071, -0.2137448172135103, -0.5985789121068561, -0.2467204360873525, 0.7315363733350532]",[]
31,False,10.052463054656982,10.052463054656982,0.0,0.0,2026-02-23T05:06:57.354295+00:00,324.1392550468445,"[0.0, 0.0, 0.0, 0.0]","[0.0041670841309868, -0.1567846695764877, 0.0293341004246432, -0.5517584492489845, 0.3642153677476251, 0.6247825745982666, -0.4153992225043029]",[]
32,False,10.085537910461426,10.085537910461426,0.0,0.0,2026-02-23T05:07:07.440359+00:00,334.22531962394714,"[0.0, 0.0, 0.0, 0.0]","[0.134566360888623, -0.134218223011587, 0.0569987546530084, 0.7166121739120782, -0.4627533750748699, -0.3222045927978407, -0.4105003123479929]",[]
33,False,10.038255453109741,10.038255453109741,0.0,0.0,2026-02-23T05:07:17.479208+00:00,344.26416850090027,"[0.0, 0.0, 0.0, 0.0]","[0.0472961517058864, -0.0594244693559431, 0.3085521652236745, 0.8395589112688793, -0.4625136660812175, 0.1785544756900243, -0.2221266359718857]",[]
34,False,10.042287826538086,10.042287826538086,0.0,0.0,2026-02-23T05:07:27.522011+00:00,354.30697226524353,"[0.0, 0.0, 0.0, 0.0]","[-0.0470198952992144, -0.1205980138948387, 0.2462385976469719, -0.5838448276870427, 0.6088065705125858, -0.5303482313187299, -0.0849148421707664]",[]
35,False,10.020549535751343,10.020549535751343,0.0,0.0,2026-02-23T05:07:37.543292+00:00,364.3282537460327,"[0.0, 0.0, 0.0, 0.0]","[-0.0792171745963496, -0.1772756273618438, 0.098776567477527, 0.025174062274851, 0.6201470377799215, 0.1858502766504469, 0.7617372202999686]",[]
36,False,10.924352407455444,10.924352407455444,0.0,0.0,2026-02-23T05:07:48.468118+00:00,375.2530789375305,"[0.0, 0.0, 0.0, 0.0]","[0.0213149382443951, -0.014462886017403, 0.0964463133604356, -0.1922827057246876, 0.6799308825749324, 0.1728091751779198, 0.6861911868964755]",[]
37,False,10.025845766067505,10.025845766067505,0.0,0.0,2026-02-23T05:07:58.494453+00:00,385.2794132232666,"[0.0, 0.0, 0.0, 0.0]","[0.1124197334441542, 0.1582011250594402, -0.0263699192998262, 0.7062223909507118, -0.0892004161243046, -0.6494642320363212, -0.2673750766032285]",[]
38,False,10.025375843048096,10.025375843048096,0.0,0.0,2026-02-23T05:08:08.520387+00:00,395.3053479194641,"[0.0, 0.0, 0.0, 0.0]","[0.0018424932860966, -0.0067274410805115, -0.0148050195625911, 0.8178281347266497, 0.3006142049878266, 0.0488878444130763, 0.4882604023241172]",[]
39,False,10.448643684387207,10.448643684387207,0.0,0.0,2026-02-23T05:08:18.969813+00:00,405.7547743320465,"[0.0, 0.0, 0.0, 0.0]","[0.0355850442776486, -0.0328033963322382, 0.0292818981629858, -0.2233573529208809, -0.5987873637594636, 0.6541302530119733, 0.404572364346183]",[]
40,False,10.407121658325195,10.407121658325195,0.0,0.0,2026-02-23T05:08:29.379628+00:00,416.1645894050598,"[0.0, 0.0, 0.0, 0.0]","[-0.0936582411280998, -0.1310905981469698, 0.2382006451868916, 0.4151963715242572, -0.151160647590025, 0.4831173934154132, 0.7558835994204083]",[]
41,False,10.139292478561401,10.139292478561401,0.0,0.0,2026-02-23T05:08:39.539889+00:00,426.3248510360718,"[0.0, 0.0, 0.0, 0.0]","[0.0591871852521357, 0.0027298347400365, 0.2364777228293188, 0.4639063728456214, -0.2821457279600879, 0.1871200587225779, 0.8186395721260671]",[]
42,False,10.413997173309326,10.413997173309326,0.0,0.0,2026-02-23T05:08:49.954075+00:00,436.7390375137329,"[0.0, 0.0, 0.0, 0.0]","[0.1966422339136129, 0.0583739838312819, 0.0487797927605598, 0.6051004570512348, 0.1289246492957348, 0.0924210270747982, 0.780186019763747]",[]
43,False,10.024717330932617,10.024717330932617,0.0,0.0,2026-02-23T05:08:59.979010+00:00,446.7639718055725,"[0.0, 0.0, 0.0, 0.0]","[0.0038163775925956, -0.1019280845531947, 0.1403020507246041, 0.6873159272047322, -0.4750158693484437, -0.549096901237299, 0.0211974793180033]",[]
44,False,10.011401653289795,10.011401653289795,0.0,0.0,2026-02-23T05:09:09.990709+00:00,456.77567052841187,"[0.0, 0.0, 0.0, 0.0]","[0.0781595680631535, 0.1008741732728197, 0.3186731563434667, -0.2345323437159009, -0.6600498026614444, -0.1033955185920587, 0.7061431897942471]",[]
45,False,10.336220026016235,10.336220026016235,0.0,0.0,2026-02-23T05:09:20.327366+00:00,467.11232686042786,"[0.0, 0.0, 0.0, 0.0]","[0.0058977503340299, -0.1615114588256097, -0.0693029372396668, 0.7087136355082811, 0.5425525092598474, -0.4349138952430927, -0.1192126724176523]",[]
46,False,10.03495979309082,10.03495979309082,0.0,0.0,2026-02-23T05:09:30.362546+00:00,477.1475055217743,"[0.0, 0.0, 0.0, 0.0]","[-0.0377643350232669, 0.1720510918830026, 0.1554623476664429, 0.5523909383012507, 0.5971147801284489, -0.5259654298589587, -0.2483516805421271]",[]
