trial,success,planning_time,wall_time,path_length_joint,trajectory_duration,timestamp_utc,elapsed_time_sec,start_state_json,goal_pose_json,waypoints_json
0,True,5.880078028,5.956569671630859,2.447446346014612,2.077172068,2026-02-23T05:46:30.288084+00:00,5.95757794380188,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.1935376270967253, -0.3107344852115217, 0.1958092629039163, 0.2090710427300747, -0.2097130021772958, 0.8529599466930057, -0.4298477464719453]","[[0.0, 0.0, 0.0, 0.0, 0.0], [-0.009999999999999993, 0.0029903362905959172, -0.0034844933918387042, -0.0005557274330227214, -0.0027042159099797698], [-0.03999999999999997, 0.011961345162383669, -0.013937973567354817, -0.0022229097320908857, -0.010816863639919079], [-0.09, 0.02691302661536327, -0.03136044052654836, -0.0050015468972044955, -0.024337943189817943], [-0.15999994641487247, 0.047845364625779555, -0.05575187559771702, -0.00889163595049101, -0.0432674400691009], [-0.249999868822729, 0.0747583680384826, -0.08711228908733426, -0.013893178535687237, -0.06760536227632796], [-0.35999977281726814, 0.10765203852617633, -0.12544168294452063, -0.020006174963650345, -0.09735171132415599], [-0.4899996480011465, 0.14652637297970544, -0.1707400535463287, -0.027230624656571438, -0.13250648440091883], [-0.6399995006236977, 0.19138137326783092, -0.22300740307033465, -0.03556652796174314, -0.1730696831965712], [-0.8099993226115856, 0.24221703697635366, -0.2822437287033899, -0.045013884430507994, -0.2190413055279088], [-0.99999912076647, 0.29903336613919873, -0.34844903281552814, -0.055572694440852916, -0.27042135323424715], [-1.2024556848195989, 0.35957468721494157, -0.41899488877327784, -0.06682376110483747, -0.3251699793934781], [-1.3878900985832856, 0.4150258129152348, -0.48360938771118306, -0.07712886018033419, -0.37531544858923155], [-1.5533245123469746, 0.4644962660343368, -0.5412548998654114, -0.08632250438978553, -0.420052485965026], [-1.6987589261106646, 0.5079860465722472, -0.5919314252359629, -0.09440469373319152, -0.45938109152086104], [-1.8241933398743546, 0.5454951545289659, -0.6356389638228368, -0.10137542821055205, -0.49330126525673673], [-1.9296277536380462, 0.5770235899044932, -0.6723775156260339, -0.10723470782186724, -0.5218130071726532], [-2.015062167401738, 0.6025713526988289, -0.7021470806455539, -0.11198253256713703, -0.5449163172686105], [-2.0804965811654306, 0.6221384429119727, -0.7249476588813963, -0.11561890244636136, -0.562611195544608], [-2.1259309949291225, 0.6357248605439246, -0.7407792503335616, -0.11814381745954025, -0.574897642000646], [-2.151365408692815, 0.6433306055946847, -0.7496418550020492, -0.11955727760667369, -0.5817756566367245], [-2.1573209368985355, 0.6451115088070081, -0.7517170548698234, -0.11988824264687964, -0.5833861600493487]]"
1,True,1.286419034,1.3264906406402588,2.0763626090220564,1.6035519329999999,2026-02-23T05:46:31.615211+00:00,7.284706115722656,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.1226325461777102, 0.0933423644989731, 0.4097088309911634, 0.5825701535407295, -0.4126174046152265, 0.5954856626736673, 0.368450429721867]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.0055564166627166695, 0.0026598887692750473, -0.008002361577264664, -0.007670061704112639, 0.009999999999999986], [0.022225666650866616, 0.01063955507710016, -0.03200944630905856, -0.030680246816450468, 0.039999999999999834], [0.05000772452740703, 0.023938986746615935, -0.0720212175609055, -0.06903052022379219, 0.08999995422041829], [0.08890258538726567, 0.04255818142973594, -0.12803766826851135, -0.12272087515519009, 0.15999985383349363], [0.13891025888717162, 0.0664971437491922, -0.2000588123395152, -0.1917513249407654, 0.24999971621864436], [0.20003074360693704, 0.09575587302513258, -0.28808464772855996, -0.27612186762009494, 0.35999953881992863], [0.2722640415911281, 0.13033437023630273, -0.3921151773802335, -0.37583250601549195, 0.4899993253169951], [0.35561013926278745, 0.17023262888333474, -0.5121503817409768, -0.49088322138536333, 0.639999051275108], [0.4393476016111209, 0.2103182360629491, -0.632749230234517, -0.606474175438025, 0.790703124477912], [0.5119757386906004, 0.2450857450309724, -0.7373484078831163, -0.7067298485937521, 0.9214135112039674], [0.5734910424446472, 0.274533476460446, -0.8259428623771871, -0.791645398341255, 1.032123897930024], [0.6238935128732606, 0.29866143035136944, -0.8985325937167284, -0.8612208246805324, 1.1228342846560806], [0.66318314997644, 0.31746960670374247, -0.9551176019017397, -0.9154561276115836, 1.1935446713821358], [0.6913599537541866, 0.3309580055175656, -0.9956978869322222, -0.9543513071344102, 1.244255058108192], [0.7084239242064999, 0.3391266267928387, -1.0202734488081755, -0.9779063632490118, 1.2749654448342485], [0.7143750613333797, 0.34197547052956173, -1.028844287529599, -0.9861212959553878, 1.285675831560305], [0.7143820714378359, 0.3419788263070792, -1.0288543834950314, -0.9861309726835735, 1.285688447792819]]"
2,False,10.044266700744629,10.044266700744629,0.0,0.0,2026-02-23T05:46:41.659991+00:00,17.32948637008667,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0589857377014579, -0.0087130748593392, 0.4654037446416507, 0.6863375523413165, 0.0008407837912164, 0.7272529313105437, 0.0065750459290182]",[]
3,True,2.325207824,2.37606143951416,3.04501581999056,2.069440813,2026-02-23T05:46:44.036556+00:00,19.706052541732788,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.010738297170193, -0.2872225189698142, 0.3187732498193567, -0.5335834362582544, 0.6956385718456688, 0.2306045797883283, -0.4221341276087496]","[[0.0, 0.0, 0.0, 0.0, 0.0], [-0.007694164149114801, 0.0014150106046628553, -0.005714633507662499, 0.0028917631284726183, 0.010000000000000002], [-0.030776656596459204, 0.005660042418651421, -0.022858534030649996, 0.011567052513890473, 0.04000000000000001], [-0.06924746523271745, 0.012735093214977832, -0.05143169257509387, 0.02602586360510647, 0.08999998426168782], [-0.12310654858671043, 0.02264015536680217, -0.09143407833939106, 0.046268180815654765, 0.15999989888553864], [-0.1923539121567598, 0.035375229885304255, -0.14286569540727218, 0.07229400621201636, 0.24999975101764602], [-0.27698955694855243, 0.050940316955436916, -0.205726544525684, 0.10410334017216706, 0.35999954196508743], [-0.37701348609055363, 0.06933541715254683, -0.28001662801821015, 0.14169618387190464, 0.48999927579388647], [-0.4924257132113008, 0.09056053298301735, -0.36573595600708014, 0.1850725424333581, 0.639998970216867], [-0.6232262238057021, 0.11461566177926062, -0.46288451771902717, 0.23423241040495552, 0.8099986063819593], [-0.7694150190644475, 0.14150080376025284, -0.5714623140384042, 0.2891757882342041, 0.999998185836687], [-0.924434723017509, 0.1700100116188497, -0.6865990303066688, 0.3474381615590281, 1.2014751766426293], [-1.0659212939192888, 0.196030381650393, -0.7916843759387343, 0.4006142624295645, 1.3853633393588582], [-1.1920195365228379, 0.21922073047261037, -0.8853404545554742, 0.4480068370431553, 1.5492515020750859], [-1.3027294508281588, 0.23958105808550226, -0.9675672661568899, 0.4896158853998014, 1.6931396647913153], [-1.3980510368352497, 0.25711136448906835, -1.0383648107429806, 0.525441407499502, 1.817027827507544], [-1.4779842945441113, 0.27181164968330884, -1.0977330883137464, 0.5554834033422575, 1.9209159902237734], [-1.5425292239547437, 0.2836819136682237, -1.1456720988691875, 0.5797418729280681, 2.0048041529400034], [-1.5916858250671464, 0.2927221564438128, -1.1821818424093036, 0.5982168162569333, 2.068692315656233], [-1.62545409788132, 0.29893237801007627, -1.2072623189340947, 0.6109082333288535, 2.1125804783724633], [-1.6438340423972642, 0.30231257836701403, -1.2209135284435613, 0.6178161241438284, 2.1364686410886935], [-1.6475441888093747, 0.30299490024321063, -1.2236691399166308, 0.6192105400138109, 2.141290667679506]]"
4,False,10.035032987594604,10.035032987594604,0.0,0.0,2026-02-23T05:46:54.072003+00:00,29.74149775505066,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0174718680199702, 0.0458785652019752, 0.0021501966913656, 0.7645755545016105, -0.0971891105155138, -0.620244985368022, 0.1458583435446195]",[]
5,False,10.393498182296753,10.393498182296753,0.0,0.0,2026-02-23T05:47:04.465752+00:00,40.135246992111206,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0085174115787493, -0.0478815683431006, 0.3108897559460453, 0.6931717117627907, -0.1379232189686657, 0.6971896792364888, 0.1200696249985232]",[]
6,True,5.067196907,5.1014604568481445,3.640202101033059,2.050114526,2026-02-23T05:47:09.567944+00:00,45.237438678741455,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.054980724786662, 0.079126005921597, 0.3192780072603955, 0.2290220232293713, -0.784398293963334, -0.2066518604860152, 0.5381108044455203]","[[0.0, 0.0, 0.0, 0.0, 0.0], [-0.009718516809276854, -0.006712615271696243, -0.003923649783171534, 0.006719387463058576, 0.00999999999999999], [-0.038874067237107304, -0.026850461086784894, -0.01569459913268609, 0.026877549852234228, 0.03999999999999985], [-0.08746659492596165, -0.0604134985189131, -0.03531282529535885, 0.060474448201902266, 0.08999994201015317], [-0.1554961047172889, -0.10740173091208748, -0.0627783302258245, 0.107510085859443, 0.1599998310121347], [-0.242962601625657, -0.16781516172988853, -0.098091115948611, 0.16798446629193126, 0.2499996721657524], [-0.34986608588222984, -0.24165379113198204, -0.14125118255704594, 0.24189758965919386, 0.3599994657088654], [-0.4762065389180809, -0.32891760629274214, -0.19225852255430997, 0.3292494431226656, 0.48999919253472435], [-0.62198396460338, -0.42960660988530935, -0.251113137502904, 0.43004002935818364, 0.6399988566255929], [-0.7871983558005456, -0.5437207969797301, -0.31781502452117744, 0.544269343430821, 0.80999845063716], [-0.971849726992418, -0.6712601775793551, -0.3923641894562769, 0.6719373953540202, 0.9999979894717406], [-1.1650218152826715, -0.8046848487889422, -0.47035341736102776, 0.805496675411175, 1.1987650360089859], [-1.339977378373181, -0.9255272991048723, -0.540988100683226, 0.9264610406835132, 1.378787941277313], [-1.4954959078451369, -1.0329445188774098, -0.6037754844390811, 1.033986631029734, 1.53881084654564], [-1.631577403698539, -1.1269365081065552, -0.6587155686285935, 1.128073446449838, 1.678833751813968], [-1.7482218659333877, -1.207503266792308, -0.7058083532517626, 1.208721486943825, 1.7988566570822955], [-1.8454292945496835, -1.274644794934669, -0.7450538383085891, 1.2759307525116954, 1.898879562350624], [-1.9231996895474253, -1.3283610925336369, -0.7764520237990722, 1.329701243153448, 1.9789024676189522], [-1.9815330509266134, -1.3686521595892127, -0.8000029097232125, 1.3700329588690838, 2.0389253728872805], [-2.020429378687248, -1.3955179961013964, -0.8157064960810096, 1.3969258996586027, 2.078948278155609], [-2.039888672829329, -1.4089586020701872, -0.8235627828724639, 1.4103800655220045, 2.0989711834239375], [-2.0423294450404943, -1.4106444524052673, -0.8245481940771826, 1.4120676166697506, 2.1014826491743857]]"
7,False,10.06869125366211,10.06869125366211,0.0,0.0,2026-02-23T05:47:19.637236+00:00,55.306697368621826,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.2012898750205956, 0.2307316817015223, 0.178895371759033, -0.3074557796670428, -0.7728991404501373, -0.1831999913772054, 0.523961473202145]",[]
8,False,10.036208868026733,10.036208868026733,0.0,0.0,2026-02-23T05:47:29.673858+00:00,65.34335327148438,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0620664992971213, 0.0664012053843841, 0.3599198656943693, 0.4366291655991218, 0.68001403145002, 0.5879611189748529, -0.0351797008677547]",[]
9,False,10.045275449752808,10.045275449752808,0.0,0.0,2026-02-23T05:47:39.719439+00:00,75.38893461227417,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.2954785714530106, 0.1330519929547787, 0.1193597674840028, 0.1791170342356581, 0.93583065418044, -0.0161757699868443, 0.3031112324018435]",[]
