trial,success,planning_time,wall_time,path_length_joint,trajectory_duration,timestamp_utc,elapsed_time_sec,start_state_json,goal_pose_json,waypoints_json
0,True,3.049287095,3.100101947784424,2.7737847136156093,2.07607887,2026-02-19T10:24:02.849655+00:00,3.1019389629364014,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0508719382719043, -0.0390972322597038, -0.0709669022665221, -0.0969221178432401, 0.5218504551358758, 0.7099877390174618, 0.462812722374972]","[[0.0, 0.0, 0.0, 0.0, 0.0], [-0.003556881204457019, 0.00621973635726904, 0.0028225089236646023, 0.0025222892821515153, -0.009999999999999978], [-0.014227524817828095, 0.024878945429076194, 0.011290035694658425, 0.010089157128606073, -0.039999999999999966], [-0.03201192889255713, 0.055977623809829666, 0.02540257876752798, 0.022700602158294253, -0.08999999452453991], [-0.05691006825192162, 0.09951572747428165, 0.04516011816366845, 0.040356606517660175, -0.15999991279047845], [-0.08892195272615379, 0.15549327361205686, 0.07056266168371096, 0.0630571771776112, -0.24999978243503945], [-0.12804758092951687, 0.22391025979998813, 0.10161020822802519, 0.09080231315548057, -0.35999959956229094], [-0.17428695357836518, 0.30476668729072776, 0.1383027583650632, 0.12359201495925619, -0.48999936618622836], [-0.22764007057469404, 0.39806255591289985, 0.18064031201705488, 0.16142628251944013, -0.6399990820313164], [-0.2881069308760307, 0.5037978638435856, 0.22862286835676177, 0.20430511509678417, -0.8099987441666932], [-0.35568753457466795, 0.6219726112441729, 0.28225042745742157, 0.25222851275673586, -0.9999983528518355], [-0.42765092943750754, 0.7478113215334135, 0.3393558837552153, 0.30325987679057825, -1.2023199675649283], [-0.4935299799864029, 0.8630106499135358, 0.3916332012612955, 0.3499766529678594, -1.3875357416153637], [-0.5522952681263834, 0.9657705055791189, 0.4382655009200459, 0.3916488505808369, -1.5527515156657974], [-0.6039467938574501, 1.0560908885301639, 0.4792527827314671, 0.4282764696295115, -1.697967289716231], [-0.6484845571796037, 1.1339717987666726, 0.5145950466955601, 0.4598595101138838, -1.8231830637666675], [-0.6859085580928428, 1.1994132362886427, 0.5442922928123234, 0.4863979720339527, -1.9283988378171029], [-0.7162187965971685, 1.2524152010960754, 0.5683445210817579, 0.5078918553897189, -2.01361461186754], [-0.7394152726925801, 1.2929776931889703, 0.5867517315038634, 0.5243411601811823, -2.078830385917977], [-0.7554979863790776, 1.3211007125673269, 0.5995139240786395, 0.5357458864083425, -2.1240461599684144], [-0.764466937656661, 1.3367842592311452, 0.6066310988060863, 0.5421060340711997, -2.1492619340188512], [-0.766525658541106, 1.3403842392131606, 0.6082647654183981, 0.5435659337201592, -2.1550499285176987]]"
1,True,0.4795725,0.5793561935424805,3.0546047007120385,2.082904543,2026-02-19T10:24:03.429769+00:00,3.682051420211792,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0060840360184177, -0.0269708489571175, 0.1457154468873741, -0.3521347809885856, 0.4981960218513118, 0.7246534736056746, -0.320435895337707]","[[0.0, 0.0, 0.0, 0.0, 0.0], [-0.009999999999999998, -0.006055797439492414, 0.004616603919299922, 0.002260447638164119, 0.005932219673299133], [-0.039999999999999876, -0.024223189757969586, 0.018466415677199633, 0.00904179055265645, 0.023728878693196467], [-0.08999997552569576, -0.05450216213428884, 0.04154942397488241, 0.02034402321118875, 0.0533899625409973], [-0.15999987696973847, -0.09689268452724435, 0.0738656059106, 0.036167134400279494, 0.09491544178853235], [-0.2499997288128619, -0.1513947717618727, 0.1154149727861376, 0.05651112965367039, 0.14830533095831075], [-0.3599995505809099, -0.2180084356626294, 0.16619753361580392, 0.0813760133850762, 0.21355964163349203], [-0.48999930871753405, -0.29673365590846956, 0.22621327290796206, 0.1107617780092601, 0.2906783539077132], [-0.6399990135542712, -0.3875704387559627, 0.29546219543227337, 0.14466842586161188, 0.37966147390986876], [-0.8099986914534691, -0.49051880016961247, 0.3739443133591895, 0.18309596290120214, 0.4805090172786825], [-0.9999983172488212, -0.6055787249092133, 0.4616596150704235, 0.22604438343931912, 0.5932209690849486], [-1.2031424730412632, -0.7285987107587854, 0.5554432256518497, 0.2719640561561061, 0.7137305448357155], [-1.3897233816523524, -0.8415883296213055, 0.6415802410478992, 0.3141396935757513, 0.8244144385081886], [-1.5563042902634414, -0.9424663536048408, 0.7184840486053488, 0.3517944357190682, 0.9232338928340634], [-1.702885198874532, -1.0312327827093921, 0.7861546483241992, 0.3849282825860572, 1.0101889078133408], [-1.8294661074856218, -1.107887616934958, 0.8445920402044496, 0.41354123417671784, 1.0852794834460195], [-1.936047016096711, -1.172430856281539, 0.8937962242460997, 0.4376332904910501, 1.1485056197320995], [-2.0226279247078, -1.2248625007491347, 0.9337672004491498, 0.457204451529054, 1.1998673166715812], [-2.089208833318888, -1.2651825503377456, 0.9645049688135998, 0.47225471729072954, 1.239364574264464], [-2.1357897419299765, -1.2933910050473716, 0.98600952933945, 0.48278408777607684, 1.2669973925107487], [-2.1623706505410656, -1.3094878648780128, 0.9982808820267007, 0.48879256298509616, 1.2827657714104357], [-2.1692438138002976, -1.31365011332466, 1.0014539492707566, 0.4903462055507009, 1.286843082840857]]"
2,False,10.043092012405396,10.043092012405396,0.0,0.0,2026-02-19T10:24:13.473464+00:00,13.725689172744751,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0385613826680224, -0.0065761258095708, -0.0671658970329017, 0.3066873361957893, 0.6637837450490011, -0.377029060995337, 0.5684919566632652]",[]
3,False,10.014180898666382,10.014180898666382,0.0,0.0,2026-02-19T10:24:23.488659+00:00,23.740946531295776,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0204232364125262, -0.0729115183281938, 0.2668650675807861, 0.5349281683955971, -0.3380513902345461, 0.7373365704172635, -0.2364485020944942]",[]
4,False,10.078137874603271,10.078137874603271,0.0,0.0,2026-02-19T10:24:33.567311+00:00,33.81950545310974,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0936822536671506, -0.0895206074504337, 0.2922782488817997, 0.2300202708267938, -0.8280640924432963, 0.0594425882848586, 0.5078061761270974]",[]
5,True,1.860163874,1.920013666152954,3.496012047654579,2.376214871,2026-02-19T10:24:35.493425+00:00,35.745710611343384,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0073825068328577, 0.0205507246117878, 0.2697914546845983, 0.5790412259910693, 0.7738621519424662, 0.0227047239269565, -0.2556034504953628]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.006324078710127524, -0.0031434863603450017, -0.00017379593033755043, 0.0018539548654902377, -0.009999999999999992], [0.025296314840510103, -0.01257394544138001, -0.0006951837213502019, 0.007415819461960954, -0.03999999999999998], [0.056916708391147645, -0.02829137724310498, -0.001564163373037952, 0.01668559378941212, -0.08999999999999982], [0.10118521833172117, -0.05029576137073136, -0.00278073375782115, 0.029663265819473598, -0.15999993512047972], [0.1581018591449078, -0.07858710502310977, -0.004344895273707232, 0.04634883979785942, -0.24999982826228861], [0.22766663618277558, -0.11316541086057286, -0.006256648067779699, 0.06674231729357166, -0.35999968788842684], [0.30987956172366016, -0.15403068498626737, -0.008515992477467111, 0.0908437019061038, -0.48999953341411095], [0.4047406356512765, -0.20118292734239193, -0.011122928499573763, 0.11865299360136594, -0.6399993646554639], [0.5122498456361287, -0.25462213180036986, -0.01407745579526514, 0.15017018876486657, -0.8099991621163724], [0.6324071981890064, -0.31434830159649496, -0.01737957454346828, 0.18539528930529633, -0.999998936092074], [0.7652126840604825, -0.38036143213318896, -0.021029284489993933, 0.22432829251111083, -1.209998671956838], [0.9104874505637386, -0.4525726217684428, -0.025021670473199805, 0.26691676626940763, -1.4397155574703115], [1.052932880456117, -0.5233774435432089, -0.028936301701750572, 0.30867579709755155, -1.664958531856862], [1.1827301529282395, -0.5878952925972845, -0.0325033410696262, 0.3467269181947146, -1.870201506243411], [1.2998792679801094, -0.6461261689306714, -0.035722788576826814, 0.38107012956089803, -2.0554444806299648], [1.404380225611723, -0.6980700725433676, -0.03859464422335228, 0.4117054311961006, -2.2206874550165154], [1.4962330258230834, -0.7437270034353747, -0.04111890800920269, 0.43863282310032314, -2.365930429403069], [1.575437668614187, -0.783096961606691, -0.043295579934377965, 0.4618523052735648, -2.491173403789621], [1.6419941539850376, -0.8161799470573181, -0.04512465999887819, 0.48136387771582656, -2.5964163781761753], [1.6959024819356325, -0.842975959787255, -0.0466061482027033, 0.49716754042710753, -2.681659352562728], [1.737162652465972, -0.863484999796502, -0.047740044545853295, 0.5092632934074081, -2.7469023269492814], [1.7657746655760573, -0.8777070670850592, -0.04852634902832821, 0.5176511366567285, -2.792145301335836], [1.781738521265889, -0.8856421616529269, -0.04896506165012806, 0.5223310701750684, -2.817388275722392], [1.7854119931057328, -0.8874681206823691, -0.049066014608691345, 0.5234079781806272, -2.823196982426123]]"
6,False,9.686019897460938,9.686019897460938,0.0,0.0,2026-02-19T10:24:45.179986+00:00,45.43224287033081,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.102839930855672, -0.0920572811115705, 0.2589990663695501, 0.9159001956794488, 0.292568353078719, 0.2744721774223598, 0.0139862129320882]",[]
7,False,10.402400016784668,10.402400016784668,0.0,0.0,2026-02-19T10:24:55.584173+00:00,55.836458921432495,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0338848934101066, -0.0569436279023722, 0.3281232026180301, 0.2921838737161786, -0.4001783983689047, 0.6618235812430358, 0.5625614461814362]",[]
8,False,10.02286171913147,10.02286171913147,0.0,0.0,2026-02-19T10:25:05.607463+00:00,65.85974979400635,"[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0413569068668526, -0.0514070950210098, 0.302935838667339, -0.1807512324491844, 0.6636559675632597, -0.6409045759439146, 0.3407800951052238]",[]
9,True,4.005517275,4.0514655113220215,2.289810114351204,1.977393347,2026-02-19T10:25:09.659735+00:00,69.91202187538147,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0587466627830513, 0.0763076011039424, 0.2542764860804279, -0.6902676886494521, -0.465108408144629, 0.1749857955697384, 0.5259131658634707]","[[0.0, 0.0, 0.0, 0.0, 0.0], [0.005169378729578148, -0.0028591477788067208, 0.00010559978717218813, 0.0015068180281343653, -0.009999999999999992], [0.02067751491831263, -0.011436591115226902, 0.0004223991486887532, 0.006027272112537472, -0.04000000000000003], [0.046524408566203365, -0.0257323300092605, 0.0009503980845496936, 0.013561362253209296, -0.08999999999999997], [0.0827100323889502, -0.04574634937014897, 0.0016895960373928115, 0.024109080497071236, -0.15999994721938227], [0.1292343928944748, -0.071478652797379, 0.002639993140161577, 0.03767042874111212, -0.24999985424751603], [0.18609748755996036, -0.10292923889559796, 0.003801589341320025, 0.05424540624995811, -0.35999971620409177], [0.25329932081138296, -0.14009811011278275, 0.0051743847312817545, 0.07383401431373342, -0.4899995416510205], [0.3308398945516879, -0.18298526750143929, 0.006758379348920026, 0.09643625348712599, -0.6399993342694897], [0.4187192047054806, -0.23159070880749497, 0.008553573110982905, 0.1220521225822024, -0.8099990861757774], [0.5168051792313484, -0.28584138589429714, 0.010557268057000833, 0.15064312402634827, -0.9997433081741377], [0.6126861280729738, -0.3388724784590289, 0.012515918858423031, 0.17859138431583568, -1.185221977579832], [0.6982283194554428, -0.3861852754661471, 0.014263370085500849, 0.20352600854905434, -1.3507006469855263], [0.7734317533787552, -0.42777977691565167, 0.015799621738234286, 0.2254469967260042, -1.4961793163912194], [0.8382964298429108, -0.46365598280754255, 0.017124673816623335, 0.24435434884668517, -1.621657985796912], [0.8928223488479099, -0.49381389314181984, 0.018238526320668004, 0.2602480649110973, -1.727136655202604], [0.9370095103937521, -0.5182535079184836, 0.019141179250368286, 0.27312814491924065, -1.8126153246082954], [0.9708579144804386, -0.536974827137534, 0.0198326326057242, 0.28299458887111534, -1.8780939940139874], [0.9943675611079685, -0.5499778507989708, 0.020312886386735736, 0.2898473967667213, -1.9235726634196793], [1.0075384502763425, -0.5572625789027943, 0.0205819405934029, 0.2936865686060585, -1.9490513328253714], [1.0106347686470503, -0.5589751312722762, 0.02064519201645945, 0.29458911194557635, -1.9550410629896389]]"
