planner_name,planning_time,attempts,states_explored,node_count,tree_depth,success
RRTConnect,0.08727598190307617,1,110,44,22,1
RRTConnect,1.156785488128662,1,0,0,0,0
RRTConnect,0.10390043258666992,1,130,52,26,1
RRTConnect,0.07983899116516113,1,120,48,24,1
RRTConnect,0.04934072494506836,1,80,32,16,1
RRTConnect,0.09424901008605957,1,115,46,23,1
RRTConnect,0.06263065338134766,1,125,50,25,1
RRTConnect,0.05783796310424805,1,100,40,20,1
RRTConnect,0.09177589416503906,1,105,42,21,1
RRTConnect,0.06375575065612793,1,125,50,25,1
RRTConnect,0.08015227317810059,1,95,38,19,1
RRTConnect,1.2405338287353516,1,120,48,24,1
RRTConnect,0.04796147346496582,1,115,46,23,1
RRTConnect,2.023808002471924,1,0,0,0,0
RRTConnect,0.04811215400695801,1,115,46,23,1
RRTConnect,0.06726241111755371,1,120,48,24,1
RRTConnect,0.02911376953125,1,110,44,22,1
RRTConnect,0.04990339279174805,1,120,48,24,1
RRTConnect,0.031185388565063477,1,120,48,24,1
RRTConnect,0.04740023612976074,1,130,52,26,1
RRTConnect,0.0291440486907959,1,130,52,26,1
RRTConnect,0.03569841384887695,1,120,48,24,1
RRTConnect,0.02764129638671875,1,110,44,22,1
RRTConnect,0.0331568717956543,1,90,36,18,1
RRTConnect,0.02476668357849121,1,90,36,18,1
RRTConnect,0.06394171714782715,1,115,46,23,1
RRTConnect,0.04994916915893555,1,110,44,22,1
RRTConnect,0.06547021865844727,1,130,52,26,1
RRTConnect,0.04836726188659668,1,130,52,26,1
RRTConnect,0.0293731689453125,1,105,42,21,1
RRTConnect,0.034067630767822266,1,115,46,23,1
RRTConnect,0.02961587905883789,1,120,48,24,1
RRTConnect,0.47891902923583984,1,0,0,0,0
RRTConnect,0.023683547973632812,1,100,40,20,1
RRTConnect,0.035737037658691406,1,125,50,25,1
RRTConnect,0.042626142501831055,1,130,52,26,1
RRTConnect,0.03457188606262207,1,130,52,26,1
RRTConnect,0.018157243728637695,1,125,50,25,1
RRTConnect,0.03058481216430664,1,110,44,22,1
RRTConnect,0.05584120750427246,1,100,40,20,1
RRTConnect,0.03969407081604004,1,115,46,23,1
RRTConnect,0.04521632194519043,1,100,40,20,1
RRTConnect,0.029622793197631836,1,110,44,22,1
RRTConnect,0.02082037925720215,1,100,40,20,1
RRTConnect,0.03562188148498535,1,130,52,26,1
RRTConnect,0.05087709426879883,1,105,42,21,1
RRTConnect,0.5785913467407227,1,0,0,0,0
RRTConnect,0.23268580436706543,1,0,0,0,0
RRTConnect,0.0583796501159668,1,90,36,18,1
RRTConnect,0.05748486518859863,1,115,46,23,1
RRTConnect,0.03582406044006348,1,120,48,24,1
RRTConnect,0.05492234230041504,1,115,46,23,1
RRTConnect,0.05133771896362305,1,105,42,21,1
RRTConnect,0.038582801818847656,1,105,42,21,1
RRTConnect,0.11162185668945312,1,0,0,0,0
RRTConnect,0.04774141311645508,1,90,36,18,1
RRTConnect,0.04335379600524902,1,110,44,22,1
