planner_name,planning_time,attempts,states_explored,node_count,tree_depth,success
RRTConnect,0.10272407531738281,1,100,40,20,1
RRTConnect,0.030119895935058594,1,70,28,14,1
RRTConnect,0.05037498474121094,1,120,48,24,1
RRTConnect,0.038156747817993164,1,105,42,21,1
RRTConnect,0.025429725646972656,1,95,38,19,1
RRTConnect,0.042340993881225586,1,80,32,16,1
RRTConnect,0.04346323013305664,1,130,52,26,1
RRTConnect,0.03834843635559082,1,70,28,14,1
RRTConnect,0.02593851089477539,1,115,46,23,1
RRTConnect,0.036116600036621094,1,85,34,17,1
RRTConnect,0.034893035888671875,1,100,40,20,1
RRTConnect,0.07218241691589355,1,125,50,25,1
RRTConnect,0.03314781188964844,1,85,34,17,1
RRTConnect,0.05545449256896973,1,110,44,22,1
RRTConnect,0.06049799919128418,1,85,34,17,1
RRTConnect,0.08178234100341797,1,125,50,25,1
RRTConnect,0.06535148620605469,1,120,48,24,1
RRTConnect,0.03271150588989258,1,130,52,26,1
RRTConnect,0.043582916259765625,1,105,42,21,1
RRTConnect,0.054134368896484375,1,125,50,25,1
RRTConnect,0.0664057731628418,1,115,46,23,1
RRTConnect,0.055021047592163086,1,115,46,23,1
RRTConnect,0.04770708084106445,1,105,42,21,1
RRTConnect,0.03699517250061035,1,125,50,25,1
RRTConnect,0.03698468208312988,1,110,44,22,1
RRTConnect,0.035979270935058594,1,110,44,22,1
RRTConnect,0.050290822982788086,1,115,46,23,1
RRTConnect,0.026462793350219727,1,90,36,18,1
RRTConnect,0.028464794158935547,1,115,46,23,1
RRTConnect,0.04153919219970703,1,130,52,26,1
RRTConnect,0.03423810005187988,1,115,46,23,1
RRTConnect,0.0500028133392334,1,130,52,26,1
RRTConnect,0.042969465255737305,1,115,46,23,1
RRTConnect,0.046985626220703125,1,135,54,27,1
RRTConnect,0.03407621383666992,1,90,36,18,1
RRTConnect,0.048493385314941406,1,95,38,19,1
RRTConnect,0.05143260955810547,1,115,46,23,1
RRTConnect,0.0298459529876709,1,115,46,23,1
RRTConnect,0.04072880744934082,1,120,48,24,1
RRTConnect,0.0537569522857666,1,115,46,23,1
RRTConnect,0.07897806167602539,1,125,50,25,1
RRTConnect,0.047306060791015625,1,75,30,15,1
RRTConnect,0.07860994338989258,1,125,50,25,1
RRTConnect,0.0870966911315918,1,95,38,19,1
RRTConnect,0.05533576011657715,1,120,48,24,1
RRTConnect,0.08456683158874512,1,120,48,24,1
RRTConnect,0.03521275520324707,1,85,34,17,1
RRTConnect,0.09909486770629883,1,125,50,25,1
RRTConnect,0.049141883850097656,1,100,40,20,1
RRTConnect,0.06243491172790527,1,70,28,14,1
RRTConnect,0.07346987724304199,1,100,40,20,1
